id;title;description;due_date;date;status;type;priority
1;out-of-the-box Grocery SMTP;bus;2022-04-21;2022-04-21T11:01:38;IN_PROGRESS;FEATURE;HIGH
2;Afghanistan Utah Quality;Licensed;2022-04-21;2022-04-20T22:24:15;WONT_IMPLEMENT;FEATURE;LOW
3;executive;Connecticut modular;2022-04-20;2022-04-21T04:10:18;OPEN;BUG;LOWER
4;B2C Legacy;Lane Chair Music;2022-04-21;2022-04-21T08:54:15;DUPLICATE;BUG;LOW
5;enable Incredible;Outdoors Fantastic Crest;2022-04-20;2022-04-20T21:08:23;OPEN;FEATURE;NORMAL
6;deposit Cotton Compatible;matrix Balanced Small;2022-04-20;2022-04-20T16:08:37;OPEN;FEATURE;LOW
7;Bike;generate systems Dollar;2022-04-21;2022-04-21T07:11:17;CLOSED;FEATURE;LOWER
8;Innovative utilize Kids;networks Customer;2022-04-21;2022-04-21T07:54:35;DUPLICATE;BUG;LOWERST
9;Rustic attitude-oriented;Data Beauty;2022-04-21;2022-04-21T10:08:37;VERIFIED;FEATURE;HIGHER
10;neural Licensed Refined;payment Steel Human;2022-04-21;2022-04-20T15:48:35;WAITING_FOR_RESPONSE;BUG;HIGH
